RegionID,Year,Home_value
126011,2006,650131
126011,2005,639808
126011,2005,627048
126011,2005,613656
126011,2005,599122
126011,2005,586853
126011,2005,574090
126011,2005,562580
126011,2005,549907
126011,2005,538091
126011,2005,527177
126011,2005,520193
126011,2005,512565
126011,2004,506141
126011,2004,500106
126011,2004,495725
126011,2004,490997
126011,2004,485719
126011,2004,480933
126011,2004,475377
126011,2004,470172
126011,2004,464830
126011,2004,460059
126011,2004,454920
126011,2004,449992
126011,2003,444442
126011,2003,437320
126011,2003,429608
126011,2003,423174
126011,2003,417730
126011,2003,412955
126011,2003,408163
126011,2003,404908
126011,2003,401705
126011,2003,399219
126011,2003,395021
126011,2003,390905
126011,2002,386325
126011,2002,383556
126011,2002,381012
126011,2002,378190
126011,2002,374967
126011,2002,372559
126011,2002,369834
126011,2002,366305
126011,2002,362067
126011,2002,357442
126011,2002,354313
126011,2002,351324
126011,2001,349902
126011,2001,348192
126011,2001,346221
126011,2001,343664
126011,2001,341442
126011,2001,337770
126011,2001,336130
126011,2001,333520
126011,2001,332436
126011,2001,329470
126011,2001,325796
126011,2001,322764
126011,2000,318900
126011,2000,315488
126011,2000,311563
126011,2000,308468
126011,2000,305165
126011,2000,302444
126011,2000,298503
126011,2000,296006
126011,2000,292129
126011,2000,290233
126011,2000,288445
126011,2000,285742
126011,1999,282892
126011,1999,279614
126011,1999,278251
126011,1999,276999
126011,1999,275595
126011,1999,273497
126011,1999,271762
126011,1999,269901
126011,1999,269317
126011,1999,267148
126011,1999,264758
126011,1999,262380
126011,1998,261334
126011,1998,260813
126011,1998,259707
126011,1998,258215
126011,1998,256060
126011,1998,254849
126011,1998,253687
126011,1998,252740
126011,1998,251642
126011,1998,251352
126011,1998,251259
126011,1998,250808
126011,1997,248814
126011,1997,247942
126011,1997,245717
126011,1997,244796
126011,1997,243483
126011,1997,244022
126011,1997,243705
126011,1997,242434
126011,1997,239012
126011,1997,236210
126011,1997,234063
126011,1997,233123
126011,1996,232241
126011,1996,230534
126011,1996,229888
126011,1996,228624
126011,1996,228091
126011,1996,226137
126011,1996,224910
126011,1996,224445
126011,1996,225593
126011,1996,226371
126011,1996,226868
126011,1996,226372
40760,2021,776019
40760,2020,767038
40760,2020,758693
40760,2020,754012
40760,2020,747952
40760,2020,741570
40760,2020,741357
40760,2020,729567
40760,2020,727409
40760,2020,731087
40760,2020,730558
40760,2020,729449
40760,2020,729129
40760,2019,728965
40760,2019,726860
40760,2019,723855
40760,2019,718628
40760,2019,714242
40760,2019,709456
40760,2019,703706
40760,2019,695390
40760,2019,687621
40760,2019,683814
40760,2019,678331
40760,2019,671180
40760,2018,663424
40760,2018,657348
40760,2018,651901
40760,2018,648353
40760,2018,645089
40760,2018,643231
40760,2018,643496
40760,2018,643854
40760,2018,644078
40760,2018,640480
40760,2018,640437
40760,2018,640404
40760,2017,640097
40760,2017,640550
40760,2017,642188
40760,2017,644889
40760,2017,645416
40760,2017,645068
40760,2017,643851
40760,2017,643294
40760,2017,642818
40760,2017,641355
40760,2017,638114
40760,2017,635919
40760,2016,634409
40760,2016,632913
40760,2016,629043
40760,2016,625249
40760,2016,621077
40760,2016,617421
40760,2016,613063
40760,2016,610945
40760,2016,609650
40760,2016,610277
40760,2016,610907
40760,2016,609817
40760,2015,608845
40760,2015,606751
40760,2015,607179
40760,2015,605473
40760,2015,603432
40760,2015,600377
40760,2015,598269
40760,2015,594967
40760,2015,591794
40760,2015,587955
40760,2015,584774
40760,2015,582146
40760,2014,579522
40760,2014,578020
40760,2014,575865
40760,2014,576658
40760,2014,579348
40760,2014,582094
40760,2014,584216
40760,2014,585115
40760,2014,585899
40760,2014,586607
40760,2014,586157
40760,2014,585478
40760,2013,583376
40760,2013,580782
40760,2013,577225
40760,2013,572340
40760,2013,567382
40760,2013,564046
40760,2013,560898
40760,2013,558482
40760,2013,554732
40760,2013,551270
40760,2013,549330
40760,2013,549061
40760,2012,550926
40760,2012,552016
40760,2012,553686
40760,2012,554745
40760,2012,556157
40760,2012,555754
40760,2012,555809
40760,2012,555626
40760,2012,556961
40760,2012,559686
40760,2012,561408
40760,2012,561466
40760,2011,559704
40760,2011,559429
40760,2011,559824
40760,2011,561266
40760,2011,561869
40760,2011,564504
40760,2011,567903
40760,2011,572245
40760,2011,575762
40760,2011,577231
40760,2011,580260
40760,2011,584331
40760,2010,590873
40760,2010,596728
40760,2010,602907
40760,2010,607820
40760,2010,611541
40760,2010,614064
40760,2010,615568
40760,2010,618708
40760,2010,621174
40760,2010,624940
40760,2010,626830
40760,2010,630107
40760,2009,631945
40760,2009,633355
40760,2009,634981
40760,2009,638133
40760,2009,643042
40760,2009,646156
40760,2009,647639
40760,2009,647213
40760,2009,648236
40760,2009,653071
40760,2009,659033
40760,2009,664154
40760,2008,667874
40760,2008,673304
40760,2008,676541
40760,2008,678371
40760,2008,679868
40760,2008,684552
40760,2008,691320
40760,2008,697009
40760,2008,702537
40760,2008,701544
40760,2008,699959
40760,2008,697466
40760,2007,697088
40760,2007,695654
40760,2007,695337
40760,2007,695081
40760,2007,694163
40760,2007,691544
40760,2007,690074
40760,2007,688605
40760,2007,687082
40760,2007,687149
40760,2007,687369
40760,2007,685611
40760,2006,681938
40760,2006,677237
40760,2006,672357
40760,2006,669309
40760,2006,666544
40760,2006,663597
40760,2006,657952
40760,2006,652890
40760,2006,647192
40760,2006,640358
40760,2006,632908
40760,2006,626259
40760,2005,620917
40760,2005,616492
40760,2005,612911
40760,2005,608167
40760,2005,602879
40760,2005,597711
40760,2005,596409
40760,2005,594771
40760,2005,590773
40760,2005,583813
40760,2005,577421
40760,2005,574483
40760,2004,572012
40760,2004,569388
40760,2004,565838
40760,2004,561701
40760,2004,557955
40760,2004,554245
40760,2004,545956
40760,2004,538351
40760,2004,534506
40760,2004,537816
40760,2004,540746
40760,2004,539614
40760,2003,536988
40760,2003,533897
40760,2003,530527
40760,2003,526774
40760,2003,523417
40760,2003,520913
40760,2003,520298
40760,2003,519401
40760,2003,517179
40760,2003,512818
40760,2003,508346
40760,2003,505023
40760,2002,501783
40760,2002,499065
40760,2002,496539
40760,2002,494964
40760,2002,492990
40760,2002,490546
40760,2002,488508
40760,2002,486614
40760,2002,484850
40760,2002,481596
40760,2002,479167
40760,2002,477093
40760,2001,476335
40760,2001,475034
40760,2001,474195
40760,2001,472595
40760,2001,470949
40760,2001,469098
40760,2001,467604
40760,2001,465941
40760,2001,464269
40760,2001,462756
40760,2001,460557
40760,2001,458604
40760,2000,455539
40760,2000,453417
40760,2000,451004
40760,2000,450011
40760,2000,448891
40760,2000,447601
40760,2000,445910
40760,2000,444721
40760,2000,443322
40760,2000,442029
40760,2000,440941
40760,2000,440767
40760,1999,440142
40760,1999,439067
40760,1999,437515
40760,1999,435708
40760,1999,433847
40760,1999,433436
40760,1999,433421
40760,1999,433490
40760,1999,432563
40760,1999,431741
40760,1999,430792
40760,1999,428780
40760,1998,427155
40760,1998,425336
40760,1998,423717
40760,1998,421574
40760,1998,419328
40760,1998,415944
40760,1998,414164
40760,1998,411213
394998,2021,642044
394998,2020,636884
394998,2020,631499
394998,2020,622857
394998,2020,618715
394998,2020,606818
394998,2020,599808
394998,2020,599891
394998,2020,596325
394998,2020,593212
394998,2020,590795
394998,2020,590162
394998,2020,588755
394998,2019,587585
394998,2019,586514
394998,2019,585078
394998,2019,583064
394998,2019,581708
394998,2019,581180
394998,2019,581140
394998,2019,580581
394998,2019,580324
394998,2019,580241
394998,2019,581181
394998,2019,580675
394998,2018,579293
394998,2018,578090
394998,2018,577462
394998,2018,577346
394998,2018,576774
394998,2018,575260
394998,2018,572968
394998,2018,571199
394998,2018,569646
394998,2018,567161
394998,2018,563682
394998,2018,560878
394998,2017,559022
394998,2017,556846
394998,2017,554402
394998,2017,552505
394998,2017,550382
394998,2017,548510
394998,2017,547367
394998,2017,545728
394998,2017,543464
394998,2017,540290
394998,2017,537486
394998,2017,533333
394998,2016,529790
394998,2016,526373
394998,2016,523590
394998,2016,520643
394998,2016,516640
394998,2016,512943
394998,2016,507723
394998,2016,502727
394998,2016,497007
394998,2016,492063
394998,2016,488015
394998,2016,484848
394998,2015,480570
394998,2015,475924
394998,2015,471122
394998,2015,465830
394998,2015,461127
394998,2015,456212
394998,2015,452088
394998,2015,448393
394998,2015,445257
394998,2015,442856
394998,2015,439283
394998,2015,435932
394998,2014,433251
394998,2014,430746
394998,2014,428028
394998,2014,425352
394998,2014,423301
394998,2014,420803
394998,2014,418687
394998,2014,416104
394998,2014,414680
394998,2014,412748
394998,2014,411574
394998,2014,409926
394998,2013,406854
394998,2013,403760
394998,2013,400089
394998,2013,397572
394998,2013,394020
394998,2013,391376
394998,2013,387969
394998,2013,384560
394998,2013,380709
394998,2013,376299
394998,2013,371678
394998,2013,366074
394998,2012,362091
394998,2012,358617
394998,2012,356253
394998,2012,352973
394998,2012,350462
394998,2012,348180
394998,2012,346574
394998,2012,344941
394998,2012,342088
394998,2012,340059
394998,2012,338470
394998,2012,339252
394998,2011,340637
394998,2011,342315
394998,2011,343826
394998,2011,345166
394998,2011,346213
394998,2011,346581
394998,2011,346866
394998,2011,348048
394998,2011,351556
394998,2011,355863
394998,2011,360323
394998,2011,363376
394998,2010,365780
394998,2010,368047
394998,2010,370562
394998,2010,373997
394998,2010,377706
394998,2010,381160
394998,2010,384429
394998,2010,387012
394998,2010,388051
394998,2010,387766
394998,2010,388025
394998,2010,389215
394998,2009,390570
394998,2009,391191
394998,2009,392150
394998,2009,392852
394998,2009,394220
394998,2009,396846
394998,2009,400617
394998,2009,404577
394998,2009,408914
394998,2009,414622
394998,2009,419319
394998,2009,424091
394998,2008,427888
394998,2008,433105
394998,2008,437531
394998,2008,442468
394998,2008,446772
394998,2008,450864
394998,2008,454325
394998,2008,458708
394998,2008,463637
394998,2008,466720
394998,2008,469417
394998,2008,471272
394998,2007,474616
394998,2007,476857
394998,2007,478229
394998,2007,479000
394998,2007,478324
394998,2007,478853
394998,2007,478543
394998,2007,478759
394998,2007,476795
394998,2007,474945
394998,2007,472591
394998,2007,470621
394998,2006,468262
394998,2006,466325
394998,2006,465053
394998,2006,463410
394998,2006,464499
394998,2006,462009
394998,2006,459006
394998,2006,451938
394998,2006,446213
394998,2006,441235
394998,2006,437568
394998,2006,432762
394998,2005,426553
394998,2005,419551
394998,2005,412774
394998,2005,405728
394998,2005,396739
394998,2005,388996
394998,2005,382054
394998,2005,376615
394998,2005,371524
394998,2005,366476
394998,2005,361818
394998,2005,357949
394998,2004,354833
394998,2004,351629
394998,2004,348452
394998,2004,345306
394998,2004,342590
394998,2004,339971
394998,2004,337369
394998,2004,335267
394998,2004,333200
394998,2004,331172
394998,2004,328954
394998,2004,326740
394998,2003,324658
394998,2003,322717
394998,2003,320638
394998,2003,318809
394998,2003,317112
394998,2003,315649
394998,2003,314303
394998,2003,313128
394998,2003,311829
394998,2003,310483
394998,2003,308978
394998,2003,307549
394998,2002,306069
394998,2002,304811
394998,2002,303617
394998,2002,302766
394998,2002,301969
394998,2002,301132
394998,2002,299998
394998,2002,298892
394998,2002,297807
394998,2002,296846
394998,2002,295708
394998,2002,294560
394998,2001,293401
394998,2001,292246
394998,2001,291226
394998,2001,290032
394998,2001,288910
394998,2001,287859
394998,2001,286982
394998,2001,286086
394998,2001,285320
394998,2001,284791
394998,2001,284296
394998,2001,283528
394998,2000,282614
394998,2000,281810
394998,2000,281394
394998,2000,280998
394998,2000,280640
394998,2000,280028
394998,2000,279497
394998,2000,278909
394998,2000,278227
394998,2000,277056
394998,2000,276043
394998,2000,275340
